count,shrub_cov_20m,shrub_cov_30m,shrub_cov_40m,shrub_cov_50m
354,0.171305,0.472,0.227275,0.121186
355,0.171211,0.4516,0.161568,0.1025
356,0.171192,0.1652,0.128039,0.0701696
357,0.171169,0.186,0.072683,0.0612529
358,0.171156,0.0716,0.0978858,0.0724018
359,0.170442,0.0552,0.0562562,0.129646
360,0.170287,0.112,0.195997,0.172886
361,0.17028,0.208,0.187221,0.15348
362,0.16994,0.1348,0.247977,0.142535
363,0.169917,0.1008,0.259679,0.183255
364,0.169867,0.1932,0.217374,0.172202
365,0.169748,0.182,0.142891,0.150456
366,0.169701,0.1292,0.107337,0.191751
367,0.169661,0.1052,0.0859595,0.17051
368,0.169597,0.1608,0.196672,0.115317
369,0.169446,0.0744,0.199147,0.107469
370,0.169422,0.0936,0.082134,0.112941
371,0.168955,0.0544,0.103961,0.0859389
372,0.168779,0.0396,0.109362,0.0721498
373,0.1686,0.108,0.0967607,0.119638
374,0.168599,0.1844,0.13839,0.149304
375,0.168334,0.1624,0.129389,0.110493
376,0.168332,0.0744,0.0834842,0.075606
377,0.168245,0.0488,0.136365,0.0954076
378,0.168123,0.16,0.193296,0.118989
379,0.16805,0.1604,0.146266,0.0995119
380,0.168014,0.1772,0.0794337,0.108117
381,0.167971,0.0764,0.0643571,0.117585
382,0.167953,0.1156,0.0641321,0.0847148
383,0.167567,0.048,0.0598566,0.0788823
384,0.167386,0.0448,0.0785336,0.110745
385,0.167364,0.096,0.0765084,0.139331
386,0.167273,0.3516,0.189471,0.190275
387,0.167218,0.3896,0.243927,0.167773
388,0.167155,0.4364,0.0976608,0.0683335
389,0.16704,0.2536,0.0623319,0.0405752
390,0.167025,0.6504,0.0661573,0.0891431
391,0.16683,0.522,0.296358,0.114093
392,0.166822,0.5944,0.407745,0.134435
393,0.166501,0.5468,0.189021,0.162913
394,0.166477,0.3636,0.182045,0.117585
395,0.166413,0.2896,0.0760584,0.0604128
396,0.16635,0.2732,0.0666073,0.0420994
397,0.166281,0.1768,0.0974357,0.123778
398,0.16613,0.216,0.148516,0.112221
399,0.166069,0.1156,0.182045,0.0865869
400,0.165955,0.0492,0.106662,0.0722578
401,0.165739,0.1,0.0607567,0.157585
402,0.165708,0.2076,0.107562,0.25598
