count,shrub_cov_20m,shrub_cov_30m,shrub_cov_40m,shrub_cov_50m
393,0.001415,0.0104,0.0580512,0.0070566
394,0.000412,0.0532,0.0330757,0.0116649
395,0.000625,0.0544,0.0193504,0.012097
396,0.000094,0.028,0.0078752,0.012961
397,0,0.016,0.0083252,0.0105128
398,0.000408,0.0168,0.0155253,0.0456516
399,0.038025,0.0228,0.0301506,0.0312505
400,0.006375,0.008,0.0198004,0.0192975
401,0.009343,0.0056,0.0128253,0.0172814
402,0.009367,0.0156,0.0213755,0.0324026
403,0.015713,0.0116,0.0211504,0.0041763
404,0.045408,0.0156,0.0272256,0.000576
405,0.019147,0.0368,0.0164253,0.0132491
406,0.002614,0.034,0.0155253,0.0469477
407,0.002722,0.0304,0,0.0188655
408,0.000979,0.0128,0,0.0151212
409,0.00077,0.008,0.00135,0.0038883
410,0.001993,0.0104,0.0058501,0.0208817
411,0.012375,0.0292,0.0027001,0.0367229
412,0.019839,0.0236,0.0222755,0.0286583
413,0.02823,0.0676,0.0141753,0.0616369
414,0.01938,0.0508,0.0171004,0.0067685
415,0.012589,0.0276,0.0546762,0.02549
416,0.008168,0.036,0.0342007,0.0570286
417,0.018322,0.0408,0.0357758,0.0205936
418,0.008588,0.0396,0.0589513,0.0048964
419,0.007898,0.0288,0.0371258,0.0076326
420,0.030203,0.0312,0.0209254,0.0492519
421,0.025456,0.0332,0.0141753,0.0093608
422,0.032157,0.0412,0.0083252,0.0089287
423,0.012877,0.0156,0.0564762,0.05026
424,0.001296,0.0352,0.0182254,0.0594767
425,0.000181,0.0524,0.0074252,0.0204496
426,0.019306,0.062,0.00135,0.0100808
427,0.01371,0.0592,0.0101252,0.0066245
428,0.021287,0.0292,0.0515261,0.0311065
429,0.014001,0.0296,0.0666014,0.012097
430,0.002692,0.036,0.0117002,0.0096488
431,0.001323,0,0.0130503,0.0136811
432,0.002473,0.0004,0.0213755,0.0095048
433,0.000685,0.0064,0.0346507,0.0040323
434,0.00096,0.0028,0.0168754,0.0033123
435,0.000749,0.0036,0.0090002,0.0239059
436,0.000106,0.0012,0.0621013,0.0648052
437,0.002303,0,0.0306007,0.0698456
438,0.007941,0.0084,0.0173254,0.049972
439,0.001108,0.004,0.0117002,0.0203056
440,0,0.0248,0.0186754,0.0144011
441,0.050514,0.0128,0.0027001,0.0259221
442,0.015182,0.0028,0.0191254,0.0355708
443,0.016301,0.0008,0.000225,0.0177134
444,0.004769,0.0304,0.0065251,0.0285143
445,0.006293,0.0288,0.0038251,0.0259221
446,0.008321,0.0276,0.0229505,0.0082087
447,0.031402,0.0692,0.0094502,0.0021602
448,0.024778,0.0584,0.0189004,0.0083527
449,0.004519,0.0484,0.0360008,0.0192975
450,0,0.0604,0.0510761,0.0184335
451,0.000493,0.0384,0.0036001,0.0590447
452,0.00116,0.0008,0.0087752,0.0800704
453,0.003561,0.0356,0.0141753,0.0195856
454,0.002829,0.0252,0.0369008,0.0368669
455,0.002717,0.0164,0.047701,0.0525642
456,0.005365,0.0336,0.0994521,0.0326906
457,0.006254,0.0108,0.0540011,0.0313945
458,0.004169,0.0356,0.0742516,0.0038883
459,0.002324,0.0304,0.095402,0.0038883
460,0.001687,0.0404,0.132753,0.0017281
461,0.005248,0.044,0.0630013,0.0028802
462,0.002449,0.022,0.108902,0.0279382
463,0.020203,0.028,0.0778517,0.0027362
464,0.023993,0.0216,0.00045,0.012241
465,0.017471,0.018,0.00045,0.0318265
466,0.027512,0.0156,0.0164253,0.0275062
467,0.009803,0.0224,0.0083252,0.0339867
468,0.016623,0.0224,0.0090002,0.0331226
469,0.014607,0.0332,0.0146253,0.0358589
470,0.019913,0.0272,0.0193504,0.0601968
471,0.015599,0.0264,0.0375758,0.0038883
472,0.012343,0.0212,0.0371258,0.0365789
473,0.005374,0.0676,0.0328507,0.0084967
474,0.00074,0.0432,0.0528761,0.0135371
475,0.003252,0.0408,0.0632263,0.0133931
476,0.008079,0.0296,0.0186754,0.0341307
477,0.002804,0.05,0.0326257,0.0357148
478,0.000417,0.034,0.0047251,0.0231859
479,0.000213,0.02,0.0166504,0.0118089
480,0.00061,0.0548,0.0434259,0.0156973
481,0.000827,0.0232,0.0168754,0.0267861
482,0.002505,0.0488,0.0159753,0.0113769
483,0.000349,0.0356,0.0222755,0.0138251
484,0.02175,0.0416,0.0094502,0.0201616
485,0.025133,0.0072,0.0342007,0.0090727
486,0.021564,0.0072,0.0256505,0.0352828
487,0.00571,0.008,0.0150753,0.0018721
488,0.000519,0.024,0.0139503,0.0057605
489,0.006558,0.004,0.0537761,0.0099368
490,0.000389,0.002,0.0661514,0.0115209
491,0.000653,0.0084,0.0747016,0.0142571
492,0.000684,0,0.0274506,0.0550124
493,0.025231,0.0024,0.0342007,0.0393151
494,0.005287,0.0036,0.0157503,0.0322586
495,0.000096,0.0008,0.0092252,0.0110889
496,0,0,0.0153003,0.0008641
497,0.001256,0.01,0.002025,0.000576
498,0.001619,0.0212,0.0213755,0.0015841
499,0.011168,0.0084,0.0076502,0.0083527
500,0.013608,0.0236,0.0056251,0.0027362
501,0.014692,0.0196,0.0072001,0.0041763
502,0.008435,0.0012,0,0.0053284
503,0.018585,0.0096,0.0076502,0.0237619
504,0.030028,0.0224,0.0137253,0.0132491
505,0.033712,0.0416,0.0166504,0.0204496
506,0.039972,0.0704,0.0393758,0.0475238
